neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
20171005A01,140082,855.699,173.656,1.30762,106.931,1.04417,163.365,2.0,5.0,12.0,71.6499,150.28,21.21,0.751009,88.3069,156.5,2.0,0.885935,329.0,0.2,105.787,352.496
20171005C01,140087,6900.87,1351.7,1.8781,78.3672,1.04134,291.261,7.0,22.0,51.0,366.7,514.16,105.19,0.720381,328.613,400.087,6.0,0.886815,3088.0,0.38986,57.1579,2970.97
20171012A01,140078,6276.73,1651.18,1.31052,92.2347,1.04164,231.362,7.0,22.0,51.0,184.82,364.281,64.51,0.797316,287.755,366.501,9.0,0.886362,2089.0,0.501154,60.7843,2300.14
20171012B01,140081,4787.5,1041.26,1.76474,86.3242,1.06206,321.935,5.0,18.0,41.0,157.848,546.392,43.81,0.747938,347.774,473.672,7.0,0.856457,1966.0,0.613889,64.1011,1937.16
20171018A01,140077,4082.9,806.276,1.80416,83.4671,1.06562,94.1536,6.0,16.0,38.0,79.6911,332.15,37.07,0.711526,287.664,343.813,7.0,0.838662,1750.0,0.432143,45.7819,1760.21
20171018D01,140084,4044.64,752.522,1.6887,79.8775,1.04604,310.567,8.0,23.0,54.0,138.222,273.64,81.45,0.67867,246.564,280.416,6.0,0.886455,1758.0,0.60559,61.6415,1829.14
20171124B01,140079,13272.7,2554.75,1.71752,79.0073,1.04629,544.217,10.0,58.0,126.0,233.77,521.72,112.98,0.691474,746.358,874.664,23.0,0.874373,5944.0,0.626384,59.7628,5907.19
20171124C01,140083,15932.3,2840.68,1.68732,82.3003,1.05149,128.465,2.0,89.0,180.0,346.306,721.41,84.44,0.67151,557.918,684.799,21.0,0.861237,7765.0,0.597059,53.938,7416.62
20180109B01,140086,8159.43,1909.57,1.47905,88.978,1.06053,195.125,6.0,31.0,68.0,141.39,626.43,65.29,0.707448,622.933,757.121,10.0,0.844821,3154.0,0.573693,74.8333,3362.63
20180109C01,140085,11530.0,3104.36,1.54954,87.4061,1.04131,611.283,2.0,18.0,38.0,313.42,1083.21,97.28,0.950754,683.41,773.009,10.0,0.87481,2753.0,0.645062,66.6788,3671.51
20180109F01,140075,7810.66,1556.91,1.7748,84.4566,1.03079,330.642,8.0,24.0,56.0,163.807,326.07,115.28,0.703871,356.52,414.905,14.0,0.906014,3003.0,0.655506,57.58,3394.42
20180207A01,140080,5302.42,1462.29,1.40188,92.2247,1.06422,333.335,4.0,14.0,32.0,240.191,737.2,52.05,0.788729,587.432,676.042,5.0,0.854776,1996.0,0.459524,81.4677,1887.11
20180417D01,140076,9300.69,2381.01,1.52409,92.3122,1.06937,1012.08,10.0,38.0,86.0,379.989,504.173,83.99,0.685586,400.064,658.597,13.0,0.824167,3711.0,0.575809,74.844,3888.92
20180418A01,140074,4298.0,862.249,1.42766,79.0033,1.03722,188.869,4.0,28.0,60.0,135.43,289.899,41.61,0.726544,252.433,274.104,6.0,0.893651,2041.0,0.422959,68.9127,1814.5
